JulDay      Hour  Latitude Longitude  Short_tid    LP_tid   Pure_Tide    Geo_Tide  Rad_Tide
12053.00000    0    59.195    -7.688     -92.616    1.036     -91.580     -88.801     2.779   
12053.04167    1    59.195    -7.688    -130.907    1.009    -129.898    -126.507     3.391   
12053.08333    2    59.195    -7.688    -135.702    0.982    -134.720    -131.627     3.094   
12053.12500    3    59.195    -7.688    -105.707    0.954    -104.752    -102.796     1.957   
12053.16667    4    59.195    -7.688     -47.604    0.926     -46.678     -46.426     0.252   
12053.20833    5    59.195    -7.688      25.111    0.896      26.007      24.409    -1.598   
12053.25000    6    59.195    -7.688      94.452    0.867      95.319      92.204    -3.115   
12053.29167    7    59.195    -7.688     142.568    0.837     143.404     139.511    -3.893   
12053.33333    8    59.195    -7.688     156.890    0.806     157.696     153.978    -3.717   
12053.37500    9    59.195    -7.688     133.676    0.775     134.451     131.825    -2.626   
12053.41667    10   59.195    -7.688      78.861    0.743      79.604      78.714    -0.890   
12053.45833    11   59.195    -7.688       5.998    0.711       6.709       7.779     1.070   
12053.50000    12   59.195    -7.688     -67.253    0.678     -66.575     -63.787     2.788   
12053.54167    13   59.195    -7.688    -123.175    0.645    -122.530    -118.673     3.857   
12053.58333    14   59.195    -7.688    -148.689    0.612    -148.078    -144.050     4.027   
12053.62500    15   59.195    -7.688    -138.719    0.578    -138.141    -134.870     3.271   
12053.66667    16   59.195    -7.688     -96.456    0.544     -95.912     -94.131     1.781   
12053.70833    17   59.195    -7.688     -32.314    0.509     -31.805     -31.884    -0.078   
12053.75000    18   59.195    -7.688      37.593    0.474      38.067      36.226    -1.841   
12053.79167    19   59.195    -7.688      95.094    0.439      95.533      92.477    -3.056   
12053.83333    20   59.195    -7.688     125.167    0.404     125.570     122.152    -3.418   
12053.87500    21   59.195    -7.688     120.289    0.368     120.657     117.802    -2.855   
12053.91667    22   59.195    -7.688      82.459    0.332      82.791      81.251    -1.540   
12053.95833    23   59.195    -7.688      22.204    0.296      22.500      22.665     0.165   
12054.00000    24   59.195    -7.688     -44.586    0.260     -44.326     -42.508     1.818   
