JulDay      Hour  Latitude Longitude  Short_tid    LP_tid   Pure_Tide    Geo_Tide  Rad_Tide
12053.00000    0    59.195    -7.688     -92.454    0.985     -91.469     -88.698     2.771
12053.04167    1    59.195    -7.688    -130.747    0.958    -129.789    -126.406     3.383
12053.08333    2    59.195    -7.688    -135.543    0.929    -134.613    -131.527     3.086
12053.12500    3    59.195    -7.688    -105.548    0.901    -104.648    -102.699     1.949
12053.16667    4    59.195    -7.688     -47.447    0.871     -46.576     -46.331     0.245
12053.20833    5    59.195    -7.688      25.266    0.841      26.108      24.502    -1.605
12053.25000    6    59.195    -7.688      94.606    0.811      95.417      92.294    -3.123
12053.29167    7    59.195    -7.688     142.721    0.780     143.500     139.599    -3.901
12053.33333    8    59.195    -7.688     157.041    0.748     157.789     154.064    -3.725
12053.37500    9    59.195    -7.688     133.826    0.716     134.542     131.908    -2.633
12053.41667    10   59.195    -7.688      79.009    0.684      79.692      78.795    -0.897
12053.45833    11   59.195    -7.688       6.145    0.651       6.795       7.858     1.062
12053.50000    12   59.195    -7.688     -67.108    0.617     -66.491     -63.711     2.780
12053.54167    13   59.195    -7.688    -123.032    0.583    -122.448    -118.599     3.850
12053.58333    14   59.195    -7.688    -148.548    0.549    -147.999    -143.979     4.020
12053.62500    15   59.195    -7.688    -138.580    0.515    -138.065    -134.800     3.264
12053.66667    16   59.195    -7.688     -96.318    0.480     -95.838     -94.064     1.774
12053.70833    17   59.195    -7.688     -32.179    0.445     -31.734     -31.819    -0.085
12053.75000    18   59.195    -7.688      37.726    0.409      38.136      36.288    -1.848
12053.79167    19   59.195    -7.688      95.226    0.374      95.599      92.536    -3.063
12053.83333    20   59.195    -7.688     125.296    0.338     125.634     122.209    -3.425
12053.87500    21   59.195    -7.688     120.416    0.302     120.718     117.856    -2.862
12053.91667    22   59.195    -7.688      82.584    0.265      82.849      81.302    -1.547
12053.95833    23   59.195    -7.688      22.327    0.229      22.555      22.714     0.159
12054.00000    24   59.195    -7.688     -44.465    0.192     -44.273     -42.462     1.811
